city,column,fraction_pct,rows_given,n_fit_points,max_n_seen,beta_pure,r2_pure,pred_pure_s,err_pure_pct,c_overhead,beta_oh,r2_oh,pred_oh_s,err_oh_pct,actual_full_s,detector
new_york,temperature_2m,25,5088,7,5000,0.8000083965251479,0.9966620034258215,0.35471766560530726,34.100267655990116,0.00016778660446704194,0.894561631573736,0.998303311897623,0.4046631610155495,24.821353470232427,0.5382687500969041,LOF
new_york,temperature_2m,50,10176,11,10000,0.8678925510065542,0.9939239847897436,0.42714273706712996,20.645079806280453,0.00041704991621089183,1.068436369469059,0.9977771279192533,0.5166617933839184,4.0141577435241835,0.5382687500969041,LOF
new_york,temperature_2m,75,15264,14,15000,0.9072948848131461,0.9927131618532071,0.46992436911654073,12.69707389999129,0.0006347959488483911,1.1678915668312961,0.9988397765079307,0.5572657297948433,3.5292741208772007,0.5382687500969041,LOF
new_york,temperature_2m,100,20352,17,20352,0.930061409029639,0.9933025073964412,0.49448365198488203,8.134430636023264,0.0004660649571258392,1.1088418080658333,0.9992055545625974,0.5409762893085996,0.50300880576999,0.5382687500969041,LOF
new_york,apparent_temperature,25,5088,7,5000,0.7809129460834885,0.9924314047279084,0.3472566306939575,32.72922900772558,0.00037503661203058364,1.0020783790579926,0.9977972988465345,0.4697124806611674,9.007005408002593,0.5162073000974488,LOF
new_york,apparent_temperature,50,10176,11,10000,0.8526053150736485,0.9918005459333887,0.42311858279374376,18.03320435145568,0.00032826563035348783,1.014767825026271,0.9968729245595686,0.4980314276116523,3.5210413495441095,0.5162073000974488,LOF
new_york,apparent_temperature,75,15264,14,15000,0.884108534431112,0.9924607527064342,0.45661027943418925,11.545171998150526,0.0005111780091476257,1.0848877250045355,0.9983319857217517,0.5232371882247557,1.3618343107468478,0.5162073000974488,LOF
new_york,apparent_temperature,100,20352,17,20352,0.9017635397087376,0.9935310100150865,0.47488071891938555,8.005811070525661,0.000432732889243186,1.0538363633959995,0.9985044007693289,0.5122538094894511,0.765872665351948,0.5162073000974488,LOF
new_york,precipitation,25,5088,7,5000,1.6971526461139963,0.9945874552939408,12.801975071724009,35.9208658309145,0.0002478426516484722,1.874856260520133,0.9994108624009049,17.790281140797205,10.952348700880833,19.97838335009874,LOF
new_york,precipitation,50,10176,11,10000,1.7735039165266875,0.9962500732744884,15.746759703533844,21.181011358178694,0.0014508263357810823,2.015393859847885,0.9990664692919408,20.62525726893077,3.237869188393732,19.97838335009874,LOF
new_york,precipitation,75,15264,14,15000,1.8025463956561285,0.9971394858978876,16.8991830237898,15.412660135454459,2.410798582880318e-17,1.8943880202824905,0.9996937161115401,18.66690712443619,6.564476227532537,19.97838335009874,LOF
new_york,precipitation,100,20352,17,20352,1.8330171863498763,0.9972255864654685,18.09311132711828,9.436559455002852,0.002965467653724962,2.031595990443653,0.9992316372693044,20.10008212335753,0.6091522578486788,19.97838335009874,LOF
new_york,surface_pressure,25,5088,7,5000,0.35053800626528836,0.9155717276651926,0.031253194214500984,53.32514086299268,0.0003431977705973111,1.1793759434066102,0.9966545700583589,0.074148604629044,10.736702703510746,0.06695937554468401,ECOD
new_york,surface_pressure,50,10176,11,10000,0.4703006646065365,0.9319773117379242,0.043315681468785616,35.31050563654114,0.00033307127583097655,1.1177190252186533,0.9994189104006699,0.06961377455218865,3.9641931931298897,0.06695937554468401,ECOD
new_york,surface_pressure,75,15264,14,15000,0.5312456529450215,0.9411818654078647,0.05021867180859959,25.00128413669695,0.00031771056044889483,1.0562759919268556,0.9996237685150575,0.06650629454833291,0.6766505700889363,0.06695937554468401,ECOD
new_york,surface_pressure,100,20352,17,20352,0.5784868273201879,0.9461659581432247,0.0558058839221131,16.657102208379833,0.00032400155562834274,1.0728448832367705,0.9997173888477318,0.06697268823283271,0.019881738801189076,0.06695937554468401,ECOD
new_york,soil_temperature_7_to_28cm,25,5088,7,5000,0.8097381146075407,0.993087748344485,0.3594380459096854,37.27426811642278,0.00030937344350369394,1.0051594684241387,0.9985322352949073,0.4725230459682375,17.539742307462177,0.5730312506784685,LOF
new_york,soil_temperature_7_to_28cm,50,10176,11,10000,0.8795864691368923,0.9927169600566725,0.4352210266517726,24.049338297610944,0.00038217857648569837,1.074336207695512,0.999005697155084,0.5266723753096905,8.090112941290569,0.5730312506784685,LOF
new_york,soil_temperature_7_to_28cm,75,15264,14,15000,0.9192366179523432,0.9920850750495981,0.4791328054999001,16.386269521495155,0.0005870686630939332,1.1679809362425129,0.9993462339616376,0.5662918575673891,1.1760952134983877,0.5730312506784685,LOF
new_york,soil_temperature_7_to_28cm,100,20352,17,20352,0.9470960102959233,0.9920958506955079,0.509817484804971,11.031469191017484,0.0006489344314879055,1.185979498741712,0.9993068295127735,0.5691905653801119,0.6702401123515066,0.5730312506784685,LOF
new_york,soil_moisture_7_to_28cm,25,5088,7,5000,0.8189693721763166,0.9950541021027602,0.36628886242546976,38.13188982915416,0.0002841195076032582,0.9965096749212504,0.9995408231550115,0.46931333505466677,20.730516004381144,0.5920479248743504,LOF
new_york,soil_moisture_7_to_28cm,50,10176,11,10000,0.8858323967014662,0.993689302952355,0.4398757776103914,25.702673866520907,0.00035918858927538324,1.0691820472680027,0.9984562716910562,0.5266998682634167,11.037629533927078,0.5920479248743504,LOF
new_york,soil_moisture_7_to_28cm,75,15264,14,15000,0.9209701006998419,0.9931309568679206,0.4788258861077307,19.123796235017412,0.0005920185522651547,1.1653160623330325,0.9981200528395299,0.5625642215172015,4.97995214887481,0.5920479248743504,LOF
new_york,soil_moisture_7_to_28cm,100,20352,17,20352,0.95334387785089,0.9921301528236863,0.5146913624407478,13.065929155991885,0.0007902260554126107,1.2379093921944424,0.9988409468012474,0.58200160483641,1.6968761507056291,0.5920479248743504,LOF
