city,column,fraction_pct,rows_given,n_fit_points,max_n_seen,beta_pure,r2_pure,pred_pure_s,err_pure_pct,c_overhead,beta_oh,r2_oh,pred_oh_s,err_oh_pct,actual_full_s,detector
amsterdam,temperature_2m,25,5088,7,5000,0.8136933198198864,0.9917487055549639,0.3605392353469835,39.33454373881822,0.0003131459669884162,1.0179804251227693,0.9985561906932454,0.481210998513609,19.02993649323164,0.5943073003436439,LOF
amsterdam,temperature_2m,50,10176,11,10000,0.8785660933079013,0.9928788531952903,0.4310469982915539,27.470687632086744,0.00028936986024337896,1.0300632631900766,0.9984648485592634,0.5026846560875573,15.41671189351165,0.5943073003436439,LOF
amsterdam,temperature_2m,75,15264,14,15000,0.92312825971768,0.9911977328424275,0.48013562215231803,19.210882673880803,0.0007143920619837541,1.2251677307934323,0.998006746890652,0.5833060102263796,1.8511113881493613,0.5943073003436439,LOF
amsterdam,temperature_2m,100,20352,17,20352,0.9593117035663907,0.990177577925122,0.5205615189262083,12.408695194353808,0.0008208939048435025,1.269202594500739,0.9990306770812976,0.5965622021307747,0.37941680774019576,0.5943073003436439,LOF
amsterdam,apparent_temperature,25,5088,7,5000,0.8158761169962486,0.9939658651557144,0.3589212786873889,35.13263268594877,0.0002551115606708389,0.9768930179524101,0.9978668038136113,0.4502210733646454,18.63214171844251,0.5533156247111037,LOF
amsterdam,apparent_temperature,50,10176,11,10000,0.8776576805167022,0.9937253993129312,0.42501409400493423,23.18776571204872,0.0003460206761336367,1.0525413166549416,0.9980245203245101,0.5040492183465487,8.903852370024415,0.5533156247111037,LOF
amsterdam,apparent_temperature,75,15264,14,15000,0.9175578367482118,0.9925394498771735,0.46811273541802567,15.39860533263706,0.0006384625698417036,1.186254624079826,0.9985607649471689,0.5574500773591308,0.7472141510888503,0.5533156247111037,LOF
amsterdam,apparent_temperature,100,20352,17,20352,0.9436971214131098,0.9927220334327066,0.49622244011245265,10.318375633881748,0.0005962746344844464,1.1672505185274977,0.9992644018192129,0.5507111046329523,0.4707114640963387,0.5533156247111037,LOF
amsterdam,precipitation,25,5088,7,5000,1.660117689924762,0.9949238654866889,10.479216948860001,39.397058648809995,0.000468719974140225,1.905833204294418,0.9992475129583743,16.132436812892507,6.703608981980194,17.29159792448627,LOF
amsterdam,precipitation,50,10176,11,10000,1.7477325617902935,0.9958572481109893,13.291088085267056,23.135570562591994,0.0014841172003566818,2.0299065422318665,0.9990239304865729,18.17158447860563,5.089099098662438,17.29159792448627,LOF
amsterdam,precipitation,75,15264,14,15000,1.7807540773928927,0.9967453311115598,14.403288205330089,16.70354429804376,1.1105579829077493e-07,1.862209464344362,0.9995437989713607,15.947194257663714,7.774895487933901,17.29159792448627,LOF
amsterdam,precipitation,100,20352,17,20352,1.8135304786984163,0.9968183270318197,15.500409381533006,10.358721910927606,0.0026276988106960202,2.02402031515053,0.9992012076575999,17.369375712359446,0.4498010433323611,17.29159792448627,LOF
amsterdam,surface_pressure,25,5088,7,5000,0.4078204651536841,0.9465823532436543,0.03707175508364679,44.72660546114689,0.0002904738212349838,0.9584277207512174,0.9801465141310175,0.0656829411808567,2.067784107602689,0.06706979984301142,ECOD
amsterdam,surface_pressure,50,10176,11,10000,0.4922118369202937,0.9597847331868855,0.04661201918507907,30.502224109535685,0.0003040527334084746,0.9761550550406003,0.9950224745498251,0.06583199784342599,1.8455430051718278,0.06706979984301142,ECOD
amsterdam,surface_pressure,75,15264,14,15000,0.543833645328129,0.9618663848476808,0.05283111277454742,21.229654929330543,0.00030469677089812287,0.9861744522146519,0.9982402438108535,0.06657342663464746,0.7400845231770544,0.06706979984301142,ECOD
amsterdam,surface_pressure,100,20352,17,20352,0.5855896422465066,0.9626129084371847,0.058004553095340985,13.516138066446043,0.0003108868301384264,1.0157003812207253,0.9988498271569352,0.06779931518110736,1.0876957137243637,0.06706979984301142,ECOD
amsterdam,soil_temperature_7_to_28cm,25,5088,7,5000,0.8158678600462553,0.990971452009384,0.3470063547741387,45.22033395048635,0.00038421122353015063,1.0870092013350634,0.9991093661821017,0.5068346387647668,19.989268577138482,0.6334583245916292,LOF
amsterdam,soil_temperature_7_to_28cm,50,10176,11,10000,0.9038883164489917,0.9894149232364287,0.44106031713531285,30.37263857576571,0.0005195483021567356,1.200473402498268,0.9996215084077904,0.5871688627564401,7.307420241896817,0.6334583245916292,LOF
amsterdam,soil_temperature_7_to_28cm,75,15264,14,15000,0.9540812742565533,0.9885716973076119,0.4981843508827223,21.354834005238434,0.000633585254006204,1.2620686082658141,0.9997325925213452,0.6160802954869321,2.74335791796567,0.6334583245916292,LOF
amsterdam,soil_temperature_7_to_28cm,100,20352,17,20352,0.9919075324062832,0.9882976700436212,0.542074240128621,14.426218886920566,0.0007357977910210817,1.3009496342537754,0.9997368238550182,0.6266855716140918,1.0691710432416608,0.6334583245916292,LOF
amsterdam,soil_moisture_7_to_28cm,25,5088,7,5000,0.8022070296711623,0.9925201880565131,0.3673710067755964,43.21703481622453,0.0004099529197603152,1.0416058886484627,0.9972759033503817,0.5064445817809178,21.7210271785447,0.6469739746535197,LOF
amsterdam,soil_moisture_7_to_28cm,50,10176,11,10000,0.8868901854620119,0.9904840871176953,0.46318536538549665,28.407419226785613,0.0005198868854000325,1.1467566224424397,0.9986829257383824,0.5942504344135981,8.14925210371207,0.6469739746535197,LOF
amsterdam,soil_moisture_7_to_28cm,75,15264,14,15000,0.9325096964892233,0.9898437290077953,0.5173934823194721,20.028702453362683,0.0006596595031797183,1.2142716329101013,0.9993892669920895,0.6269079985794748,3.1015120947934567,0.6469739746535197,LOF
amsterdam,soil_moisture_7_to_28cm,100,20352,17,20352,0.9694649331801428,0.9891788153969185,0.5619061307945321,13.148572769800332,0.0008186291560975494,1.27335708484092,0.9995385163283766,0.6454851320465155,0.230124033629261,0.6469739746535197,LOF
