city,column,detector,n,perfit_s,search_s
amsterdam,temperature_2m,LOF,500,0.0007697090040892363,0.019242725102230906
amsterdam,temperature_2m,LOF,1000,0.0011703330092132092,0.02925832523033023
amsterdam,temperature_2m,LOF,1500,0.0016657920205034316,0.04164480051258579
amsterdam,temperature_2m,LOF,2000,0.0020189159840811044,0.05047289960202761
amsterdam,temperature_2m,LOF,3000,0.0031112080032471567,0.07778020008117892
amsterdam,temperature_2m,LOF,4000,0.0038886670081410557,0.09721667520352639
amsterdam,temperature_2m,LOF,5000,0.004847333999350667,0.12118334998376667
amsterdam,temperature_2m,LOF,6000,0.006032333010807633,0.15080832527019083
amsterdam,temperature_2m,LOF,7500,0.0076301250082906336,0.19075312520726584
amsterdam,temperature_2m,LOF,9000,0.008647374983411282,0.21618437458528206
amsterdam,temperature_2m,LOF,10000,0.009830249997321516,0.2457562499330379
amsterdam,temperature_2m,LOF,12000,0.01225312499445863,0.30632812486146577
amsterdam,temperature_2m,LOF,14000,0.015222833986626938,0.38057084966567345
amsterdam,temperature_2m,LOF,15000,0.01648304201080464,0.41207605027011596
amsterdam,temperature_2m,LOF,17000,0.019113165995804593,0.4778291498951148
amsterdam,temperature_2m,LOF,19000,0.022259041987126693,0.5564760496781673
amsterdam,temperature_2m,LOF,20352,0.023772292013745755,0.5943073003436439
amsterdam,apparent_temperature,LOF,500,0.0007424170034937561,0.0185604250873439
amsterdam,apparent_temperature,LOF,1000,0.001187166984891519,0.029679174622287974
amsterdam,apparent_temperature,LOF,1500,0.001678707980317995,0.041967699507949874
amsterdam,apparent_temperature,LOF,2000,0.001976416999241337,0.04941042498103343
amsterdam,apparent_temperature,LOF,3000,0.003098583983955905,0.07746459959889762
amsterdam,apparent_temperature,LOF,4000,0.003859958000248298,0.09649895000620745
amsterdam,apparent_temperature,LOF,5000,0.004747291997773573,0.11868229994433932
amsterdam,apparent_temperature,LOF,6000,0.00574554200284183,0.14363855007104576
amsterdam,apparent_temperature,LOF,7500,0.007619874988449737,0.19049687471124344
amsterdam,apparent_temperature,LOF,9000,0.00858837499981746,0.21470937499543652
amsterdam,apparent_temperature,LOF,10000,0.009713332983665168,0.2428333245916292
amsterdam,apparent_temperature,LOF,12000,0.01198812501388602,0.2997031253471505
amsterdam,apparent_temperature,LOF,14000,0.014549292012816295,0.3637323003204074
amsterdam,apparent_temperature,LOF,15000,0.015974707988789305,0.3993676997197326
amsterdam,apparent_temperature,LOF,17000,0.01770320799550973,0.4425801998877432
amsterdam,apparent_temperature,LOF,19000,0.02033112500794232,0.508278125198558
