city,column,detector,n,perfit_s,search_s
new_york,temperature_2m,LOF,500,0.0007714579987805337,0.019286449969513342
new_york,temperature_2m,LOF,1000,0.001207875000545755,0.030196875013643876
new_york,temperature_2m,LOF,1500,0.0017132920038420707,0.04283230009605177
new_york,temperature_2m,LOF,2000,0.0021865000016987324,0.05466250004246831
new_york,temperature_2m,LOF,3000,0.0031442080216947943,0.07860520054236986
new_york,temperature_2m,LOF,4000,0.0038036659825593233,0.09509164956398308
new_york,temperature_2m,LOF,5000,0.004765457997564226,0.11913644993910566
new_york,temperature_2m,LOF,6000,0.0058499579899944365,0.1462489497498609
new_york,temperature_2m,LOF,7500,0.007743208989268169,0.19358022473170422
new_york,temperature_2m,LOF,9000,0.00885099999140948,0.22127499978523701
new_york,temperature_2m,LOF,10000,0.009796833008294925,0.24492082520737313
new_york,temperature_2m,LOF,12000,0.012128333008149639,0.30320832520374097
new_york,temperature_2m,LOF,14000,0.014770542009500787,0.36926355023751967
new_york,temperature_2m,LOF,15000,0.01589374998002313,0.39734374950057827
new_york,temperature_2m,LOF,17000,0.017946750012924895,0.44866875032312237
new_york,temperature_2m,LOF,19000,0.01985333298216574,0.4963333245541435
new_york,temperature_2m,LOF,20352,0.021530750003876165,0.5382687500969041
new_york,apparent_temperature,LOF,500,0.0008284589857794344,0.02071147464448586
new_york,apparent_temperature,LOF,1000,0.0012475409894250333,0.031188524735625833
new_york,apparent_temperature,LOF,1500,0.001777291006874293,0.04443227517185733
new_york,apparent_temperature,LOF,2000,0.002110625006025657,0.052765625150641426
new_york,apparent_temperature,LOF,3000,0.0031780409917701036,0.07945102479425259
new_york,apparent_temperature,LOF,4000,0.003880791016854346,0.09701977542135864
new_york,apparent_temperature,LOF,5000,0.004921917017782107,0.12304792544455267
new_york,apparent_temperature,LOF,6000,0.006088750000344589,0.15221875000861473
new_york,apparent_temperature,LOF,7500,0.007880167016992345,0.19700417542480864
new_york,apparent_temperature,LOF,9000,0.008708290988579392,0.2177072747144848
new_york,apparent_temperature,LOF,10000,0.009772166988113895,0.24430417470284738
new_york,apparent_temperature,LOF,12000,0.011733415973139927,0.29333539932849817
new_york,apparent_temperature,LOF,14000,0.014089917007368058,0.35224792518420145
new_york,apparent_temperature,LOF,15000,0.015434458007803187,0.38586145019507967
new_york,apparent_temperature,LOF,17000,0.016395125014241785,0.4098781253560446
new_york,apparent_temperature,LOF,19000,0.0191545830166433,0.4788645754160825
new_york,apparent_temperature,LOF,20352,0.02064829200389795,0.5162073000974488
new_york,precipitation,LOF,500,0.0010968749993480742,0.027421874983701855
new_york,precipitation,LOF,1000,0.0028752499783877283,0.07188124945969321
new_york,precipitation,LOF,1500,0.005276790994685143,0.13191977486712858
new_york,precipitation,LOF,2000,0.009520792023977265,0.23801980059943162
new_york,precipitation,LOF,3000,0.019330459006596357,0.4832614751649089
new_york,precipitation,LOF,4000,0.034756833978462964,0.8689208494615741
new_york,precipitation,LOF,5000,0.05111008297535591,1.2777520743838977
