city,scope,target_column,model,n_rows,n_features,single_trial_s,estimated_search_s
new_york,univariate,apparent_temperature,LOF,20256,1,0.04257,1.064
new_york,univariate,apparent_temperature,ECOD,20256,1,0.00568,0.142
new_york,univariate,apparent_temperature,HBOS,20256,1,0.00122,0.03
new_york,univariate,apparent_temperature,COPOD,20256,1,0.00549,0.137
new_york,univariate,precipitation,IForest,20256,1,0.18781,4.695
new_york,univariate,precipitation,LOF,20256,1,1.55225,38.806
new_york,univariate,precipitation,ECOD,20256,1,0.00372,0.093
new_york,univariate,precipitation,HBOS,20256,1,0.00079,0.02
new_york,univariate,precipitation,COPOD,20256,1,0.00342,0.085
new_york,univariate,surface_pressure,IForest,20256,1,0.41924,10.481
new_york,univariate,surface_pressure,LOF,20256,1,0.04765,1.191
new_york,univariate,surface_pressure,ECOD,20256,1,0.00559,0.14
new_york,univariate,surface_pressure,HBOS,20256,1,0.00127,0.032
new_york,univariate,surface_pressure,COPOD,20256,1,0.00538,0.134
new_york,univariate,soil_temperature_7_to_28cm,IForest,20256,1,0.38844,9.711
new_york,univariate,soil_temperature_7_to_28cm,LOF,20256,1,0.04656,1.164
new_york,univariate,soil_temperature_7_to_28cm,ECOD,20256,1,0.00458,0.115
new_york,univariate,soil_temperature_7_to_28cm,HBOS,20256,1,0.00119,0.03
new_york,univariate,soil_temperature_7_to_28cm,COPOD,20256,1,0.00439,0.11
new_york,univariate,soil_moisture_7_to_28cm,IForest,20256,1,0.33317,8.329
new_york,univariate,soil_moisture_7_to_28cm,LOF,20256,1,0.04598,1.15
new_york,univariate,soil_moisture_7_to_28cm,ECOD,20256,1,0.00394,0.098
new_york,univariate,soil_moisture_7_to_28cm,HBOS,20256,1,0.00116,0.029
new_york,univariate,soil_moisture_7_to_28cm,COPOD,20256,1,0.00377,0.094
new_york,multivariate,ALL_FEATURES,IForest,20256,6,0.39535,9.884
new_york,multivariate,ALL_FEATURES,LOF,20256,6,0.47051,11.763
new_york,multivariate,ALL_FEATURES,ECOD,20256,6,0.02998,0.75
new_york,multivariate,ALL_FEATURES,HBOS,20256,6,0.00595,0.149
new_york,multivariate,ALL_FEATURES,COPOD,20256,6,0.02995,0.749
paris,univariate,temperature_2m,IForest,20256,1,0.45295,11.324
paris,univariate,temperature_2m,LOF,20256,1,0.04926,1.231
paris,univariate,temperature_2m,ECOD,20256,1,0.00557,0.139
paris,univariate,temperature_2m,HBOS,20256,1,0.00124,0.031
paris,univariate,temperature_2m,COPOD,20256,1,0.00544,0.136
paris,univariate,apparent_temperature,IForest,20256,1,0.47275,11.819
paris,univariate,apparent_temperature,LOF,20256,1,0.04678,1.169
paris,univariate,apparent_temperature,ECOD,20256,1,0.00568,0.142
paris,univariate,apparent_temperature,HBOS,20256,1,0.00124,0.031
paris,univariate,apparent_temperature,COPOD,20256,1,0.00554,0.138
paris,univariate,precipitation,IForest,20256,1,0.18933,4.733
paris,univariate,precipitation,LOF,20256,1,1.42194,35.548
paris,univariate,precipitation,ECOD,20256,1,0.00379,0.095
paris,univariate,precipitation,HBOS,20256,1,0.00085,0.021
paris,univariate,precipitation,COPOD,20256,1,0.00364,0.091
paris,univariate,surface_pressure,IForest,20256,1,0.41488,10.372
paris,univariate,surface_pressure,LOF,20256,1,0.04578,1.145
paris,univariate,surface_pressure,ECOD,20256,1,0.00539,0.135
paris,univariate,surface_pressure,HBOS,20256,1,0.00127,0.032
paris,univariate,surface_pressure,COPOD,20256,1,0.00523,0.131
paris,univariate,soil_temperature_7_to_28cm,IForest,20256,1,0.36511,9.128
paris,univariate,soil_temperature_7_to_28cm,LOF,20256,1,0.04926,1.231
paris,univariate,soil_temperature_7_to_28cm,ECOD,20256,1,0.00469,0.117
paris,univariate,soil_temperature_7_to_28cm,HBOS,20256,1,0.0012,0.03
paris,univariate,soil_temperature_7_to_28cm,COPOD,20256,1,0.00456,0.114
paris,univariate,soil_moisture_7_to_28cm,IForest,20256,1,0.32494,8.123
paris,univariate,soil_moisture_7_to_28cm,LOF,20256,1,0.05003,1.251
paris,univariate,soil_moisture_7_to_28cm,ECOD,20256,1,0.00392,0.098
paris,univariate,soil_moisture_7_to_28cm,HBOS,20256,1,0.00121,0.03
paris,univariate,soil_moisture_7_to_28cm,COPOD,20256,1,0.0037,0.092
paris,multivariate,ALL_FEATURES,IForest,20256,6,0.40134,10.034
paris,multivariate,ALL_FEATURES,LOF,20256,6,0.51472,12.868
paris,multivariate,ALL_FEATURES,ECOD,20256,6,0.02984,0.746
paris,multivariate,ALL_FEATURES,HBOS,20256,6,0.00613,0.153
paris,multivariate,ALL_FEATURES,COPOD,20256,6,0.02953,0.738
tokyo,univariate,temperature_2m,IForest,20280,1,0.46703,11.676
tokyo,univariate,temperature_2m,LOF,20280,1,0.04589,1.147
tokyo,univariate,temperature_2m,ECOD,20280,1,0.00573,0.143
tokyo,univariate,temperature_2m,HBOS,20280,1,0.00126,0.031
tokyo,univariate,temperature_2m,COPOD,20280,1,0.00557,0.139
tokyo,univariate,apparent_temperature,IForest,20280,1,0.49186,12.296
tokyo,univariate,apparent_temperature,LOF,20280,1,0.04352,1.088
tokyo,univariate,apparent_temperature,ECOD,20280,1,0.0056,0.14
tokyo,univariate,apparent_temperature,HBOS,20280,1,0.00125,0.031
tokyo,univariate,apparent_temperature,COPOD,20280,1,0.00558,0.139
tokyo,univariate,precipitation,IForest,20280,1,0.1958,4.895
tokyo,univariate,precipitation,LOF,20280,1,1.50004,37.501
tokyo,univariate,precipitation,ECOD,20280,1,0.00373,0.093
tokyo,univariate,precipitation,HBOS,20280,1,0.00081,0.02
tokyo,univariate,precipitation,COPOD,20280,1,0.00354,0.088
tokyo,univariate,surface_pressure,IForest,20280,1,0.42561,10.64
tokyo,univariate,surface_pressure,LOF,20280,1,0.04809,1.202
tokyo,univariate,surface_pressure,ECOD,20280,1,0.00558,0.14
tokyo,univariate,surface_pressure,HBOS,20280,1,0.00128,0.032
tokyo,univariate,surface_pressure,COPOD,20280,1,0.00542,0.136
tokyo,univariate,soil_temperature_7_to_28cm,IForest,20280,1,0.38532,9.633
tokyo,univariate,soil_temperature_7_to_28cm,LOF,20280,1,0.04767,1.192
tokyo,univariate,soil_temperature_7_to_28cm,ECOD,20280,1,0.00478,0.12
tokyo,univariate,soil_temperature_7_to_28cm,HBOS,20280,1,0.0012,0.03
tokyo,univariate,soil_temperature_7_to_28cm,COPOD,20280,1,0.0046,0.115
tokyo,univariate,soil_moisture_7_to_28cm,IForest,20280,1,0.33174,8.293
tokyo,univariate,soil_moisture_7_to_28cm,LOF,20280,1,0.05042,1.26
tokyo,univariate,soil_moisture_7_to_28cm,ECOD,20280,1,0.00403,0.101
tokyo,univariate,soil_moisture_7_to_28cm,HBOS,20280,1,0.00116,0.029
tokyo,univariate,soil_moisture_7_to_28cm,COPOD,20280,1,0.00388,0.097
tokyo,multivariate,ALL_FEATURES,IForest,20280,6,0.41103,10.276
tokyo,multivariate,ALL_FEATURES,LOF,20280,6,0.47568,11.892
tokyo,multivariate,ALL_FEATURES,ECOD,20280,6,0.03087,0.772
tokyo,multivariate,ALL_FEATURES,HBOS,20280,6,0.00599,0.15
tokyo,multivariate,ALL_FEATURES,COPOD,20280,6,0.03046,0.762
