city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred,n_synthetic,n_caught,n_missed,missed_rate,n_extra_flags,extra_flag_rate
GB,multivariate,IForest,ALL_FEATURES,0.7932960893854749,0.9659863945578231,0.8711656441717791,0.9256844850065189,7342,147,179,147,142,5,0.034013605442176874,37,0.005142460041695622
GB,univariate,HBOS,initialDemandOutturn,0.8181818181818182,0.9611650485436893,0.8839285714285714,0.9287054409005628,7342,103,121,103,99,4,0.038834951456310676,22,0.0030390937974858405
GB,univariate,ECOD,initialTransmissionSystemDemandOutturn,0.8674698795180723,0.9113924050632911,0.8888888888888888,0.9022556390977443,7342,79,83,79,72,7,0.08860759493670886,11,0.0015145256780944513
