city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred,train_time_s,infer_time_s,search_time_s,total_time_s
amsterdam,multivariate,OCSVM,ALL_FEATURES,0.2879581151832461,0.2619047619047619,0.2743142144638404,0.2667313288069835,20856,210,191,0.0438,0.03967,8.8661,8.9099
amsterdam,univariate,VAE,temperature_2m,0.004297269969666329,0.2236842105263158,0.008432539682539682,0.01995305164319249,20856,76,3956,0.3727,0.000931,9.8145,10.1872
amsterdam,univariate,OCSVM,apparent_temperature,0.004901960784313725,0.02631578947368421,0.008264462809917356,0.014044943820224719,20856,76,408,0.1033,0.093471,14.5038,14.6071
amsterdam,univariate,AE,precipitation,0.0033545790003354577,0.14084507042253522,0.00655307994757536,0.015313935681470138,20856,71,2981,1.5263,0.001029,14.8728,16.3991
amsterdam,univariate,VAE,surface_pressure,0.5217391304347826,1.0,0.6857142857142857,0.8450704225352113,20856,72,138,1.6548,0.000223,12.5894,14.2442
amsterdam,univariate,AE,soil_temperature_7_to_28cm,0.010477299185098952,0.11688311688311688,0.019230769230769232,0.038560411311053984,20856,77,859,1.5342,0.000786,8.9285,10.4627
amsterdam,univariate,OCSVM,soil_moisture_7_to_28cm,0.5,0.136986301369863,0.21505376344086022,0.16025641025641027,20856,73,20,0.0633,0.054836,5.7629,5.8262
london,multivariate,OCSVM,ALL_FEATURES,0.4028776978417266,0.26666666666666666,0.3209169054441261,0.28600612870275793,20856,210,139,0.0487,0.045101,11.1179,11.1667
london,univariate,OCSVM,temperature_2m,0.007686395080707148,0.1724137931034483,0.014716703458425313,0.03261578604044357,20856,58,1301,0.0489,0.038637,5.2739,5.3228
london,univariate,OCSVM,apparent_temperature,0.005291005291005291,0.012658227848101266,0.007462686567164179,0.009900990099009901,20856,79,189,0.0409,0.036245,9.2742,9.3151
london,univariate,VAE,precipitation,0.00205761316872428,0.013157894736842105,0.0035587188612099642,0.006329113924050633,20856,76,486,3.0533,0.000209,14.0147,17.068
london,univariate,OCSVM,surface_pressure,0.6833333333333333,1.0,0.8118811881188119,0.9151785714285714,20856,82,120,0.061,0.053266,10.6961,10.757
