inj_seed,column,anomaly_rate,shift_pct,model,precision,recall,f1,f2,n_synthetic,n_caught,n_missed,missed_rate,n_extra_flags,extra_flag_rate,n_pos,n_neg,recall_pos,recall_neg
7,initialDemandOutturn,0.2,0.1,ECOD,0.5,0.4915,0.4957,0.4932,1766,868,898,0.5085,868,0.1229,866,900,0.485,0.4978
7,initialTransmissionSystemDemandOutturn,0.2,0.1,ECOD,0.4775,0.4689,0.4731,0.4706,1766,828,938,0.5311,906,0.1283,875,891,0.4434,0.4938
7,initialDemandOutturn,0.2,0.2,ECOD,0.6609,0.6489,0.6549,0.6513,1766,1146,620,0.3511,588,0.0832,866,900,0.6005,0.6956
7,initialTransmissionSystemDemandOutturn,0.2,0.2,ECOD,0.6446,0.6336,0.6391,0.6358,1766,1119,647,0.3664,617,0.0873,875,891,0.5771,0.6891
7,initialDemandOutturn,0.2,0.3,ECOD,0.7572,0.7435,0.7503,0.7462,1766,1313,453,0.2565,421,0.0596,866,900,0.6859,0.7989
7,initialTransmissionSystemDemandOutturn,0.2,0.3,ECOD,0.7454,0.7327,0.739,0.7352,1766,1294,472,0.2673,442,0.0626,875,891,0.6766,0.7879
7,initialDemandOutturn,0.2,0.4,ECOD,0.799,0.7854,0.7921,0.7881,1766,1387,379,0.2146,349,0.0494,866,900,0.7425,0.8267
7,initialTransmissionSystemDemandOutturn,0.2,0.4,ECOD,0.7797,0.7758,0.7777,0.7766,1766,1370,396,0.2242,387,0.0548,875,891,0.7246,0.826
7,initialDemandOutturn,0.2,0.5,ECOD,0.8232,0.8092,0.8161,0.8119,1766,1429,337,0.1908,307,0.0435,866,900,0.7771,0.84
7,initialTransmissionSystemDemandOutturn,0.2,0.5,ECOD,0.8082,0.7945,0.8013,0.7972,1766,1403,363,0.2055,333,0.0471,875,891,0.7497,0.8384
