inj_seed,column,anomaly_rate,shift_pct,model,precision,recall,f1,f2,n_synthetic,n_caught,n_missed,missed_rate,n_extra_flags,extra_flag_rate,n_pos,n_neg,recall_pos,recall_neg
42,initialDemandOutturn,0.01,0.1,LOF,0.226,0.5341,0.3176,0.4196,88,47,41,0.4659,161,0.0184,42,46,0.2381,0.8043
42,initialTransmissionSystemDemandOutturn,0.01,0.1,LOF,0.2062,0.6023,0.3072,0.4351,88,53,35,0.3977,204,0.0233,45,43,0.3556,0.8605
42,initialDemandOutturn,0.01,0.2,ECOD,0.3812,0.6932,0.4919,0.5957,88,61,27,0.3068,99,0.0113,42,46,0.5714,0.8043
42,initialTransmissionSystemDemandOutturn,0.01,0.2,ECOD,0.3937,0.7159,0.5081,0.6152,88,63,25,0.2841,97,0.0111,45,43,0.6444,0.7907
42,initialDemandOutturn,0.01,0.3,ECOD,0.4562,0.8295,0.5887,0.7129,88,73,15,0.1705,87,0.01,42,46,0.6905,0.9565
42,initialTransmissionSystemDemandOutturn,0.01,0.3,ECOD,0.6606,0.8182,0.731,0.7809,88,72,16,0.1818,37,0.0042,45,43,0.7556,0.8837
42,initialDemandOutturn,0.01,0.4,ECOD,0.5333,0.9091,0.6723,0.7968,88,80,8,0.0909,70,0.008,42,46,0.8095,1.0
42,initialTransmissionSystemDemandOutturn,0.01,0.4,ECOD,0.7431,0.9205,0.8223,0.8785,88,81,7,0.0795,28,0.0032,45,43,0.8444,1.0
42,initialDemandOutturn,0.01,0.5,ECOD,0.9398,0.8864,0.9123,0.8966,88,78,10,0.1136,5,0.0006,42,46,0.7619,1.0
42,initialTransmissionSystemDemandOutturn,0.01,0.5,ECOD,0.82,0.9318,0.8723,0.9071,88,82,6,0.0682,18,0.0021,45,43,0.8667,1.0
42,initialDemandOutturn,0.02,0.1,IForest,0.1903,0.6667,0.2961,0.4443,177,118,59,0.3333,502,0.058,86,91,0.5349,0.7912
42,initialTransmissionSystemDemandOutturn,0.02,0.1,IForest,0.1981,0.4746,0.2795,0.371,177,84,93,0.5254,340,0.0393,94,83,0.3723,0.5904
42,initialDemandOutturn,0.02,0.2,ECOD,0.4377,0.8136,0.5692,0.6943,177,144,33,0.1864,185,0.0214,86,91,0.7558,0.8681
42,initialTransmissionSystemDemandOutturn,0.02,0.2,IForest,0.4484,0.7853,0.5708,0.6827,177,139,38,0.2147,171,0.0198,94,83,0.6915,0.8916
42,initialDemandOutturn,0.02,0.3,ECOD,0.6567,0.8644,0.7463,0.813,177,153,24,0.1356,80,0.0092,86,91,0.8023,0.9231
42,initialTransmissionSystemDemandOutturn,0.02,0.3,ECOD,0.5795,0.8644,0.6939,0.787,177,153,24,0.1356,111,0.0128,94,83,0.8191,0.9157
42,initialDemandOutturn,0.02,0.4,ECOD,0.8307,0.887,0.8579,0.8751,177,157,20,0.113,32,0.0037,86,91,0.8372,0.9341
42,initialTransmissionSystemDemandOutturn,0.02,0.4,ECOD,0.8115,0.8757,0.8424,0.8621,177,155,22,0.1243,36,0.0042,94,83,0.8085,0.9518
42,initialDemandOutturn,0.02,0.5,ECOD,0.9353,0.8983,0.9164,0.9055,177,159,18,0.1017,11,0.0013,86,91,0.8372,0.956
42,initialTransmissionSystemDemandOutturn,0.02,0.5,ECOD,0.8883,0.8983,0.8933,0.8963,177,159,18,0.1017,20,0.0023,94,83,0.8191,0.988
42,initialDemandOutturn,0.05,0.1,HBOS,0.2294,0.6991,0.3454,0.496,442,309,133,0.3009,1038,0.1237,222,220,0.6577,0.7409
42,initialTransmissionSystemDemandOutturn,0.05,0.1,HBOS,0.2331,0.7104,0.351,0.504,442,314,128,0.2896,1033,0.1232,217,225,0.7143,0.7067
42,initialDemandOutturn,0.05,0.2,ECOD,0.4114,0.7986,0.5431,0.6721,442,353,89,0.2014,505,0.0602,222,220,0.7658,0.8318
42,initialTransmissionSystemDemandOutturn,0.05,0.2,ECOD,0.4258,0.8371,0.5645,0.7016,442,370,72,0.1629,499,0.0595,217,225,0.7604,0.9111
42,initialDemandOutturn,0.05,0.3,HBOS,0.608,0.9231,0.7332,0.8364,442,408,34,0.0769,263,0.0314,222,220,0.9144,0.9318
42,initialTransmissionSystemDemandOutturn,0.05,0.3,IForest,0.4835,0.9276,0.6357,0.7836,442,410,32,0.0724,438,0.0522,217,225,0.8802,0.9733
42,initialDemandOutturn,0.05,0.4,ECOD,0.8303,0.819,0.8246,0.8212,442,362,80,0.181,74,0.0088,222,220,0.7387,0.9
42,initialTransmissionSystemDemandOutturn,0.05,0.4,ECOD,0.5458,0.9434,0.6915,0.8235,442,417,25,0.0566,347,0.0414,217,225,0.8894,0.9956
