inj_seed,column,anomaly_rate,shift_pct,model,precision,recall,f1,f2,n_synthetic,n_caught,n_missed,missed_rate,n_extra_flags,extra_flag_rate,n_pos,n_neg,recall_pos,recall_neg
1,initialDemandOutturn,0.01,0.1,IForest,0.1644,0.4091,0.2345,0.3152,88,36,52,0.5909,183,0.0209,49,39,0.2449,0.6154
1,initialTransmissionSystemDemandOutturn,0.01,0.1,ECOD,0.1264,0.3864,0.1905,0.2738,88,34,54,0.6136,235,0.0269,46,42,0.2609,0.5238
1,initialDemandOutturn,0.01,0.2,ECOD,0.2836,0.6477,0.3945,0.5154,88,57,31,0.3523,144,0.0165,49,39,0.5714,0.7436
1,initialTransmissionSystemDemandOutturn,0.01,0.2,IForest,0.2944,0.7727,0.4263,0.5832,88,68,20,0.2273,163,0.0186,46,42,0.6522,0.9048
1,initialDemandOutturn,0.01,0.3,ECOD,0.5242,0.7386,0.6132,0.6828,88,65,23,0.2614,59,0.0067,49,39,0.6735,0.8205
1,initialTransmissionSystemDemandOutturn,0.01,0.3,ECOD,0.5254,0.7045,0.6019,0.6596,88,62,26,0.2955,56,0.0064,46,42,0.6522,0.7619
1,initialDemandOutturn,0.01,0.4,ECOD,0.6789,0.8409,0.7513,0.8026,88,74,14,0.1591,35,0.004,49,39,0.7755,0.9231
1,initialTransmissionSystemDemandOutturn,0.01,0.4,ECOD,0.6697,0.8295,0.7411,0.7918,88,73,15,0.1705,36,0.0041,46,42,0.7391,0.9286
1,initialDemandOutturn,0.01,0.5,ECOD,0.6371,0.8977,0.7453,0.8298,88,79,9,0.1023,45,0.0051,49,39,0.8367,0.9744
1,initialTransmissionSystemDemandOutturn,0.01,0.5,ECOD,0.5816,0.9318,0.7162,0.8316,88,82,6,0.0682,59,0.0067,46,42,0.8913,0.9762
1,initialDemandOutturn,0.02,0.1,IForest,0.1581,0.5537,0.2459,0.369,177,98,79,0.4463,522,0.0603,81,96,0.3704,0.7083
1,initialTransmissionSystemDemandOutturn,0.02,0.1,IForest,0.1581,0.5537,0.2459,0.369,177,98,79,0.4463,522,0.0603,92,85,0.3587,0.7647
1,initialDemandOutturn,0.02,0.2,ECOD,0.4649,0.7119,0.5625,0.6435,177,126,51,0.2881,145,0.0168,81,96,0.6296,0.7812
1,initialTransmissionSystemDemandOutturn,0.02,0.2,IForest,0.3639,0.8305,0.506,0.661,177,147,30,0.1695,257,0.0297,92,85,0.7717,0.8941
1,initialDemandOutturn,0.02,0.3,ECOD,0.8176,0.7853,0.8012,0.7916,177,139,38,0.2147,31,0.0036,81,96,0.716,0.8438
1,initialTransmissionSystemDemandOutturn,0.02,0.3,ECOD,0.5461,0.8362,0.6607,0.7559,177,148,29,0.1638,123,0.0142,92,85,0.7717,0.9059
1,initialDemandOutturn,0.02,0.4,ECOD,0.9716,0.774,0.8616,0.8068,177,137,40,0.226,4,0.0005,81,96,0.7037,0.8333
1,initialTransmissionSystemDemandOutturn,0.02,0.4,ECOD,0.8448,0.8305,0.8376,0.8333,177,147,30,0.1695,27,0.0031,92,85,0.7609,0.9059
1,initialDemandOutturn,0.02,0.5,ECOD,0.9368,0.9209,0.9288,0.924,177,163,14,0.0791,11,0.0013,81,96,0.8519,0.9792
1,initialTransmissionSystemDemandOutturn,0.02,0.5,ECOD,0.9138,0.8983,0.906,0.9014,177,159,18,0.1017,15,0.0017,92,85,0.8478,0.9529
1,initialDemandOutturn,0.05,0.1,HBOS,0.2796,0.5611,0.3732,0.467,442,248,194,0.4389,639,0.0762,219,223,0.5571,0.565
1,initialTransmissionSystemDemandOutturn,0.05,0.1,HBOS,0.222,0.6765,0.3343,0.4799,442,299,143,0.3235,1048,0.1249,222,220,0.6261,0.7273
1,initialDemandOutturn,0.05,0.2,IForest,0.4042,0.8213,0.5418,0.6808,442,363,79,0.1787,535,0.0638,219,223,0.7854,0.8565
1,initialTransmissionSystemDemandOutturn,0.05,0.2,IForest,0.3928,0.9118,0.549,0.7212,442,403,39,0.0882,623,0.0743,222,220,0.8559,0.9682
1,initialDemandOutturn,0.05,0.3,ECOD,0.5196,0.8982,0.6584,0.784,442,397,45,0.1018,367,0.0438,219,223,0.8447,0.9507
1,initialTransmissionSystemDemandOutturn,0.05,0.3,IForest,0.4732,0.8801,0.6155,0.751,442,389,53,0.1199,433,0.0516,222,220,0.8198,0.9409
1,initialDemandOutturn,0.05,0.4,IForest,0.5219,0.9706,0.6788,0.8282,442,429,13,0.0294,393,0.0469,219,223,0.9543,0.9865
1,initialTransmissionSystemDemandOutturn,0.05,0.4,IForest,0.5195,0.9661,0.6756,0.8243,442,427,15,0.0339,395,0.0471,222,220,0.9414,0.9909
1,initialDemandOutturn,0.05,0.5,ECOD,0.5537,0.957,0.7015,0.8353,442,423,19,0.043,341,0.0407,219,223,0.9269,0.9865
1,initialTransmissionSystemDemandOutturn,0.05,0.5,IForest,0.5984,0.8394,0.6987,0.7768,442,371,71,0.1606,249,0.0297,222,220,0.8829,0.7955
1,initialDemandOutturn,0.1,0.1,ECOD,0.3189,0.624,0.4221,0.5238,883,551,332,0.376,1177,0.1481,436,447,0.5665,0.6801
1,initialTransmissionSystemDemandOutturn,0.1,0.1,ECOD,0.3321,0.6206,0.4327,0.5288,883,548,335,0.3794,1102,0.1387,451,432,0.5521,0.6921
1,initialDemandOutturn,0.1,0.2,HBOS,0.5494,0.8381,0.6637,0.7584,883,740,143,0.1619,607,0.0764,436,447,0.8303,0.8456
1,initialTransmissionSystemDemandOutturn,0.1,0.2,HBOS,0.5345,0.8154,0.6457,0.7379,883,720,163,0.1846,627,0.0789,451,432,0.796,0.8356
1,initialDemandOutturn,0.1,0.3,HBOS,0.5976,0.9117,0.722,0.825,883,805,78,0.0883,542,0.0682,436,447,0.9151,0.9083
1,initialTransmissionSystemDemandOutturn,0.1,0.3,HBOS,0.6006,0.9162,0.7256,0.8291,883,809,74,0.0838,538,0.0677,451,432,0.9113,0.9213
1,initialDemandOutturn,0.1,0.4,ECOD,0.6934,0.8992,0.783,0.8488,883,794,89,0.1008,351,0.0442,436,447,0.8303,0.9664
1,initialTransmissionSystemDemandOutturn,0.1,0.4,HBOS,0.7219,0.9173,0.808,0.8702,883,810,73,0.0827,312,0.0393,451,432,0.918,0.9167
