column,anomaly_rate,shift_pct,precision,recall,f1,f2,missed_rate,extra_flag_rate,recall_pos,recall_neg,model
initialDemandOutturn,0.01,0.1,0.2214,0.4886333333333333,0.30383333333333334,0.3923666666666667,0.5113666666666666,0.017766666666666667,0.25403333333333333,0.7251,LOF
initialDemandOutturn,0.01,0.2,0.38493333333333335,0.6325666666666666,0.46923333333333334,0.5510333333333334,0.36743333333333333,0.0112,0.5282333333333333,0.7382,ECOD
initialDemandOutturn,0.01,0.3,0.5415333333333333,0.7765,0.6332666666666666,0.7101000000000001,0.22350000000000003,0.006966666666666667,0.6872333333333334,0.8664000000000001,ECOD
initialDemandOutturn,0.01,0.4,0.7145666666666667,0.8409,0.7561,0.7998,0.1591,0.0042,0.7609,0.9225,ECOD
initialDemandOutturn,0.01,0.5,0.8497,0.8598666666666667,0.8442,0.8506333333333332,0.14013333333333333,0.001966666666666667,0.7654333333333333,0.9544333333333334,ECOD
initialDemandOutturn,0.02,0.1,0.1903,0.5706333333333333,0.28276666666666667,0.4030333333333333,0.4293666666666667,0.051133333333333336,0.45080000000000003,0.6773666666666666,IForest
initialDemandOutturn,0.02,0.2,0.4163666666666666,0.7721666666666667,0.5378666666666666,0.6557666666666666,0.22783333333333333,0.0229,0.7049333333333334,0.8323666666666667,ECOD
initialDemandOutturn,0.02,0.3,0.7115999999999999,0.8173333333333334,0.7573333333333334,0.7912666666666667,0.18266666666666667,0.0070666666666666655,0.7453,0.8824333333333333,ECOD
initialDemandOutturn,0.02,0.4,0.8282333333333334,0.8531,0.8317,0.8422333333333333,0.1469,0.004266666666666667,0.7920666666666666,0.9079666666666667,ECOD
initialDemandOutturn,0.02,0.5,0.93605,0.9096,0.9226,0.91475,0.09040000000000001,0.0013,0.84455,0.9676,ECOD
initialDemandOutturn,0.05,0.1,0.2545,0.6301000000000001,0.35929999999999995,0.48150000000000004,0.3699,0.09995000000000001,0.6073999999999999,0.6529499999999999,HBOS
initialDemandOutturn,0.05,0.2,0.4078,0.80995,0.54245,0.67645,0.19005,0.062,0.7756000000000001,0.84415,IForest
initialDemandOutturn,0.05,0.3,0.5638,0.91065,0.6958,0.8102,0.08935,0.037599999999999995,0.87955,0.9412499999999999,ECOD
initialDemandOutturn,0.05,0.4,0.6761,0.8948,0.7517,0.8247,0.1052,0.02785,0.8465,0.94325,IForest
