city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred
amsterdam,multivariate,IForest,ALL_FEATURES,0.17149069167006387,0.39474507350641225,0.23910572186434256,0.31319799473867077,59952,3197,7359
amsterdam,univariate,LOF,temperature_2m,0.8486328125,0.2718173287456991,0.4117507699597252,0.3145815233130611,59952,3197,1024
amsterdam,univariate,LOF,apparent_temperature,0.5242424242424243,0.2705661557710353,0.3569218073034867,0.2995567253082144,59952,3197,1650
amsterdam,univariate,IForest,precipitation,0.05975256646485917,0.14200813262433531,0.0841130152848541,0.11135092710683803,59952,3197,7598
amsterdam,univariate,ECOD,surface_pressure,0.9461009174311926,0.2580544260243979,0.4055050380928975,0.3019765739385066,59952,3197,872
amsterdam,univariate,LOF,soil_temperature_7_to_28cm,0.9291521486643438,0.25023459493274947,0.39428289797930016,0.29306176276650303,59952,3197,861
amsterdam,univariate,LOF,soil_moisture_7_to_28cm,0.9215909090909091,0.25367532061307474,0.39784155015943096,0.296678372841674,59952,3197,880
london,multivariate,IForest,ALL_FEATURES,0.160913140311804,0.36158898967782294,0.22271457470378575,0.2894051672341278,60000,3197,7184
london,univariate,LOF,temperature_2m,0.6568705321683876,0.25868001251172973,0.37118491921005387,0.29436890439239694,60000,3197,1259
london,univariate,LOF,apparent_temperature,0.9475524475524476,0.25430090710040665,0.4009864364981504,0.2978894914260589,60000,3197,858
london,univariate,IForest,precipitation,0.0632932531730127,0.11854863934939006,0.08252585737615678,0.10092671495526204,60000,3197,5988
london,univariate,HBOS,surface_pressure,0.48513740886146944,0.2705661557710353,0.3473895582329317,0.2968224555624185,60000,3197,1783
london,univariate,LOF,soil_temperature_7_to_28cm,0.8036750483558994,0.2599311854863935,0.3928149373670527,0.30060772681232817,60000,3197,1034
london,univariate,LOF,soil_moisture_7_to_28cm,0.9767441860465116,0.2627463246793869,0.4140990879960562,0.30773739742086753,60000,3197,860
new_york,multivariate,IForest,ALL_FEATURES,0.25149079595540574,0.30340944635595873,0.2750212645307627,0.2913787924301592,59976,3197,3857
new_york,univariate,IForest,temperature_2m,0.10924154424325248,0.4000625586487332,0.17162026165716202,0.26106303069888964,59976,3197,11708
new_york,univariate,LOF,apparent_temperature,0.9407665505226481,0.25336252736940884,0.3992114342040414,0.2967250348010843,59976,3197,861
new_york,univariate,IForest,precipitation,0.055003548616039746,0.14544885830466062,0.07982147455154064,0.10945297053008192,59976,3197,8454
new_york,univariate,HBOS,surface_pressure,1.0,0.2564904598060682,0.40826487428429176,0.3012933568489124,59976,3197,820
new_york,univariate,LOF,soil_temperature_7_to_28cm,0.8850967007963595,0.24335314357209883,0.3817468105986261,0.28462720421453136,59976,3197,879
new_york,univariate,LOF,soil_moisture_7_to_28cm,0.9963942307692307,0.25930559899906164,0.41151650533631173,0.3043318649045521,59976,3197,832
paris,multivariate,IForest,ALL_FEATURES,0.1955953714072415,0.32780731936190177,0.24500292226767972,0.28876887468312573,60024,3197,5358
paris,univariate,IForest,temperature_2m,0.11100528184258378,0.401000938379731,0.1738776617387766,0.2633849693881744,60024,3197,11549
paris,univariate,IForest,apparent_temperature,0.10460813992600067,0.3891147951204254,0.16488832924647093,0.2520259319286872,60024,3197,11892
paris,univariate,IForest,precipitation,0.05190668040850745,0.17328745699092898,0.0798846431146359,0.11806828353437619,60024,3197,10673
paris,univariate,ECOD,surface_pressure,0.8922413793103449,0.2589928057553957,0.40145454545454545,0.30183727034120733,60024,3197,928
paris,univariate,LOF,soil_temperature_7_to_28cm,0.9853658536585366,0.25273694088207693,0.40229026636793624,0.2968841857730747,60024,3197,820
paris,univariate,LOF,soil_moisture_7_to_28cm,0.7197452229299363,0.24741945573975602,0.3682495344506518,0.2847987326276374,60024,3197,1099
tokyo,multivariate,IForest,ALL_FEATURES,0.18623676612127046,0.3630393996247655,0.24618320610687022,0.3051087984862819,60072,3198,6234
tokyo,univariate,LOF,temperature_2m,0.7493472584856397,0.2692307692307692,0.3961352657004831,0.3088013772326232,60072,3198,1149
tokyo,univariate,IForest,apparent_temperature,0.11499258710155671,0.3880550343964978,0.17741243745532523,0.2631021031207598,60072,3198,10792
tokyo,univariate,IForest,precipitation,0.05381871590432228,0.16041275797373358,0.08059701492537313,0.11489876366242609,60072,3198,9532
tokyo,univariate,HBOS,surface_pressure,0.7098976109215017,0.2601626016260163,0.38077803203661326,0.2979089086221713,60072,3198,1172
tokyo,univariate,LOF,soil_temperature_7_to_28cm,0.9073064340239912,0.2601626016260163,0.40437424058323207,0.3034502881318842,60072,3198,917
tokyo,univariate,LOF,soil_moisture_7_to_28cm,0.8975501113585747,0.25203252032520324,0.3935546875,0.2943754565376187,60072,3198,898
