number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-24 10:50:10.654637,2026-05-24 10:50:12.831593,0 days 00:00:02.176956,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 10:50:12.831677,2026-05-24 10:50:12.849668,0 days 00:00:00.017991,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.0,2026-05-24 10:50:12.849715,2026-05-24 10:50:12.858367,0 days 00:00:00.008652,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.0,2026-05-24 10:50:12.858413,2026-05-24 10:50:13.986494,0 days 00:00:01.128081,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 10:50:13.986582,2026-05-24 10:50:14.094993,0 days 00:00:00.108411,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 10:50:14.095074,2026-05-24 10:50:14.112051,0 days 00:00:00.016977,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0,2026-05-24 10:50:14.112097,2026-05-24 10:50:14.125489,0 days 00:00:00.013392,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 10:50:14.125535,2026-05-24 10:50:15.333295,0 days 00:00:01.207760,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 10:50:15.333380,2026-05-24 10:50:15.441032,0 days 00:00:00.107652,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-24 10:50:15.441100,2026-05-24 10:50:15.665881,0 days 00:00:00.224781,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 10:50:15.665961,2026-05-24 10:50:18.614744,0 days 00:00:02.948783,leaky_relu,128.0,0.0015200809077270817,98.0,,,4.0,0.0024015639024822476,VAE,2.0,,COMPLETE
11,0.0,2026-05-24 10:50:18.614824,2026-05-24 10:50:21.668070,0 days 00:00:03.053246,tanh,128.0,0.005159715411023053,100.0,,,5.0,0.00012699870393086127,VAE,2.0,,COMPLETE
12,0.0,2026-05-24 10:50:21.668155,2026-05-24 10:50:21.723426,0 days 00:00:00.055271,,,0.0022867144285208295,,scale,,,,OCSVM,,0.02683234970351457,COMPLETE
13,0.0,2026-05-24 10:50:21.723474,2026-05-24 10:50:23.971256,0 days 00:00:02.247782,tanh,128.0,0.04561848033770431,58.0,,,8.0,0.0008883116653692037,VAE,3.0,,COMPLETE
14,0.0,2026-05-24 10:50:23.971336,2026-05-24 10:50:24.956523,0 days 00:00:00.985187,elu,128.0,0.010015450800588988,76.0,,,7.0,0.0021223297272287135,AE,1.0,,COMPLETE
