city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred
amsterdam,multivariate,LOF,ALL_FEATURES,0.6027397260273972,0.2146341463414634,0.31654676258992803,0.24636058230683092,20352,205,73
amsterdam,univariate,LOF,temperature_2m,0.5247524752475248,0.7162162162162162,0.6057142857142858,0.6675062972292192,20352,74,101
amsterdam,univariate,LOF,apparent_temperature,0.4915254237288136,0.4027777777777778,0.44274809160305345,0.41786743515850144,20352,72,59
amsterdam,univariate,LOF,precipitation,0.5217391304347826,0.17391304347826086,0.2608695652173913,0.20066889632107024,20352,69,23
amsterdam,univariate,ECOD,surface_pressure,0.72,1.0,0.8372093023255814,0.9278350515463918,20352,72,100
amsterdam,univariate,LOF,soil_temperature_7_to_28cm,0.8705882352941177,0.9866666666666667,0.925,0.961038961038961,20352,75,85
amsterdam,univariate,LOF,soil_moisture_7_to_28cm,0.8701298701298701,0.9436619718309859,0.9054054054054054,0.9279778393351801,20352,71,77
london,multivariate,LOF,ALL_FEATURES,0.6883116883116883,0.25853658536585367,0.375886524822695,0.2954292084726867,20352,205,77
london,univariate,LOF,temperature_2m,0.03130755064456722,0.8793103448275862,0.06046235921754594,0.1370231058570661,20352,58,1629
london,univariate,LOF,apparent_temperature,0.5934959349593496,0.9605263157894737,0.7336683417085427,0.8548009367681498,20352,76,123
london,univariate,LOF,precipitation,0.17777777777777778,0.10526315789473684,0.1322314049586777,0.11461318051575932,20352,76,45
london,univariate,ECOD,surface_pressure,0.8080808080808081,1.0,0.8938547486033519,0.954653937947494,20352,80,99
london,univariate,LOF,soil_temperature_7_to_28cm,0.7804878048780488,0.9846153846153847,0.8707482993197279,0.935672514619883,20352,65,82
london,univariate,LOF,soil_moisture_7_to_28cm,0.9278350515463918,1.0,0.9625668449197861,0.9846827133479212,20352,90,97
new_york,multivariate,LOF,ALL_FEATURES,0.6416666666666667,0.3684210526315789,0.46808510638297873,0.4027196652719665,20352,209,120
new_york,univariate,LOF,temperature_2m,0.4425287356321839,0.9871794871794872,0.6111111111111112,0.7921810699588477,20352,78,174
new_york,univariate,LOF,apparent_temperature,0.3978494623655914,1.0,0.5692307692307692,0.7676348547717843,20352,74,186
new_york,univariate,LOF,precipitation,0.4166666666666667,0.13333333333333333,0.20202020202020202,0.15432098765432098,20352,75,24
new_york,univariate,ECOD,surface_pressure,1.0,0.918918918918919,0.9577464788732394,0.9340659340659341,20352,74,68
new_york,univariate,LOF,soil_temperature_7_to_28cm,0.5636363636363636,0.8732394366197183,0.6850828729281768,0.7868020304568528,20352,71,110
new_york,univariate,LOF,soil_moisture_7_to_28cm,0.987012987012987,1.0,0.9934640522875817,0.9973753280839895,20352,76,77
paris,multivariate,LOF,ALL_FEATURES,0.711340206185567,0.3382352941176471,0.4584717607973422,0.3778751369112815,20352,204,97
paris,univariate,LOF,temperature_2m,0.07427785419532325,0.6835443037974683,0.13399503722084366,0.2588686481303931,20352,79,727
paris,univariate,LOF,apparent_temperature,0.527027027027027,0.975,0.6842105263157895,0.8333333333333334,20352,80,148
paris,univariate,LOF,precipitation,0.3142857142857143,0.13924050632911392,0.19298245614035087,0.15669515669515668,20352,79,35
paris,univariate,HBOS,surface_pressure,0.8095238095238095,0.9855072463768116,0.8888888888888888,0.9444444444444444,20352,69,84
paris,univariate,LOF,soil_temperature_7_to_28cm,0.7916666666666666,0.987012987012987,0.8786127167630058,0.9405940594059405,20352,77,96
paris,univariate,LOF,soil_moisture_7_to_28cm,0.7888888888888889,1.0,0.8819875776397516,0.9491978609625669,20352,71,90
tokyo,multivariate,LOF,ALL_FEATURES,0.4957983193277311,0.28780487804878047,0.36419753086419754,0.3141640042598509,20352,205,119
tokyo,univariate,COPOD,temperature_2m,0.08823529411764706,0.03296703296703297,0.048,0.03768844221105527,20352,91,34
tokyo,univariate,LOF,apparent_temperature,0.6386554621848739,1.0,0.7794871794871795,0.8983451536643026,20352,76,119
tokyo,univariate,LOF,precipitation,1.0,0.10666666666666667,0.1927710843373494,0.12987012987012986,20352,75,8
tokyo,univariate,ECOD,surface_pressure,0.859375,1.0,0.9243697478991597,0.9683098591549296,20352,55,64
tokyo,univariate,LOF,soil_temperature_7_to_28cm,0.6373626373626373,0.9830508474576272,0.7733333333333333,0.8868501529051988,20352,59,91
tokyo,univariate,LOF,soil_moisture_7_to_28cm,0.8787878787878788,1.0,0.9354838709677419,0.9731543624161074,20352,87,99
