city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred
amsterdam,multivariate,LOF,ALL_FEATURES,0.6027397260273972,0.2146341463414634,0.31654676258992803,0.24636058230683092,20352,205,73
amsterdam,univariate,LOF,temperature_2m,0.048615800135043886,0.35121951219512193,0.08540925266903915,0.15645371577574968,20352,205,1481
amsterdam,univariate,LOF,apparent_temperature,0.5669291338582677,0.35121951219512193,0.43373493975903615,0.3801478352692714,20352,205,127
amsterdam,univariate,LOF,precipitation,0.30434782608695654,0.06829268292682927,0.11155378486055777,0.08083140877598152,20352,205,46
amsterdam,univariate,ECOD,surface_pressure,0.8,0.35121951219512193,0.488135593220339,0.3956043956043956,20352,205,90
amsterdam,univariate,LOF,soil_temperature_7_to_28cm,0.8705882352941177,0.36097560975609755,0.5103448275862069,0.4088397790055249,20352,205,85
amsterdam,univariate,LOF,soil_moisture_7_to_28cm,0.8701298701298701,0.32682926829268294,0.475177304964539,0.3734671125975474,20352,205,77
london,multivariate,LOF,ALL_FEATURES,0.6883116883116883,0.25853658536585367,0.375886524822695,0.2954292084726867,20352,205,77
london,univariate,LOF,temperature_2m,0.04863669859985262,0.32195121951219513,0.08450704225352113,0.1515847496554892,20352,205,1357
london,univariate,LOF,apparent_temperature,0.6578947368421053,0.36585365853658536,0.4702194357366771,0.4014989293361884,20352,205,114
london,univariate,LOF,precipitation,0.28125,0.04390243902439024,0.0759493670886076,0.0528169014084507,20352,205,32
london,univariate,ECOD,surface_pressure,0.8681318681318682,0.3853658536585366,0.5337837837837838,0.433589462129528,20352,205,91
london,univariate,LOF,soil_temperature_7_to_28cm,0.5603448275862069,0.3170731707317073,0.40498442367601245,0.3472222222222222,20352,205,116
london,univariate,LOF,soil_moisture_7_to_28cm,0.9278350515463918,0.43902439024390244,0.5960264900662252,0.49073064340239914,20352,205,97
new_york,multivariate,LOF,ALL_FEATURES,0.6416666666666667,0.3684210526315789,0.46808510638297873,0.4027196652719665,20352,209,120
new_york,univariate,LOF,temperature_2m,0.03214638971315529,0.31100478468899523,0.05826983415508741,0.11371588523442967,20352,209,2022
new_york,univariate,ECOD,apparent_temperature,0.00885851683118198,0.1674641148325359,0.016826923076923076,0.03655734280342594,20352,209,3951
new_york,univariate,LOF,precipitation,0.38095238095238093,0.03827751196172249,0.06956521739130435,0.046674445740956826,20352,209,21
new_york,univariate,ECOD,surface_pressure,1.0,0.3062200956937799,0.46886446886446886,0.35555555555555557,20352,209,64
new_york,univariate,LOF,soil_temperature_7_to_28cm,0.5636363636363636,0.2966507177033493,0.3887147335423197,0.3276955602536998,20352,209,110
new_york,univariate,LOF,soil_moisture_7_to_28cm,0.987012987012987,0.36363636363636365,0.5314685314685315,0.41621029572836804,20352,209,77
paris,multivariate,LOF,ALL_FEATURES,0.711340206185567,0.3382352941176471,0.4584717607973422,0.3778751369112815,20352,204,97
paris,univariate,IForest,temperature_2m,0.028404099560761346,0.47549019607843135,0.05360596849958552,0.11463011108484991,20352,204,3415
paris,univariate,LOF,apparent_temperature,0.5405405405405406,0.39215686274509803,0.45454545454545453,0.4149377593360996,20352,204,148
paris,univariate,LOF,precipitation,0.32,0.0392156862745098,0.06986899563318777,0.04756242568370987,20352,204,25
paris,univariate,HBOS,surface_pressure,1.0,0.31862745098039214,0.483271375464684,0.3688989784335982,20352,204,65
paris,univariate,LOF,soil_temperature_7_to_28cm,0.672566371681416,0.37254901960784315,0.4794952681388013,0.40904198062432723,20352,204,113
paris,univariate,LOF,soil_moisture_7_to_28cm,0.068359375,0.1715686274509804,0.09776536312849161,0.13177710843373494,20352,204,512
tokyo,multivariate,LOF,ALL_FEATURES,0.4957983193277311,0.28780487804878047,0.36419753086419754,0.3141640042598509,20352,205,119
tokyo,univariate,IForest,temperature_2m,0.031557614360162134,0.5317073170731708,0.0595791199781361,0.12751520823584464,20352,205,3454
tokyo,univariate,LOF,apparent_temperature,0.6470588235294118,0.375609756097561,0.47530864197530864,0.410010649627263,20352,205,119
tokyo,univariate,LOF,precipitation,0.0875,0.06829268292682927,0.07671232876712329,0.07142857142857142,20352,205,160
tokyo,univariate,ECOD,surface_pressure,0.875,0.2731707317073171,0.4163568773234201,0.3167420814479638,20352,205,64
tokyo,univariate,LOF,soil_temperature_7_to_28cm,0.6987951807228916,0.28292682926829266,0.4027777777777778,0.3211517165005537,20352,205,83
tokyo,univariate,LOF,soil_moisture_7_to_28cm,0.8446601941747572,0.424390243902439,0.564935064935065,0.4712892741061755,20352,205,103
