city,scope,model_name,target_column,precision,recall,f1,n_rows,n_positive_true,n_positive_pred
amsterdam,multivariate,LOF,ALL_FEATURES,0.34978070175438597,0.09978104472943385,0.15526892187880262,59952,3197,912
amsterdam,univariate,LOF,temperature_2m,0.8426640926640927,0.27306850172036284,0.41247342310418145,59952,3197,1036
amsterdam,univariate,LOF,apparent_temperature,0.8926174496644296,0.16640600563027838,0.2805167413656736,59952,3197,596
amsterdam,univariate,LOF,precipitation,0.6206896551724138,0.03941194870190804,0.07411764705882352,59952,3197,203
amsterdam,univariate,LOF,surface_pressure,0.11373390557939914,0.033156083828589304,0.051344151126180675,59952,3197,932
amsterdam,univariate,LOF,soil_temperature_7_to_28cm,0.9662650602409638,0.2508601814200813,0.39831139806307425,59952,3197,830
amsterdam,univariate,LOF,soil_moisture_7_to_28cm,0.9721886336154776,0.2514857679074132,0.3996023856858847,59952,3197,827
london,multivariate,LOF,ALL_FEATURES,0.26399253731343286,0.08852048795746012,0.13258374326540173,60000,3197,1072
london,univariate,LOF,temperature_2m,0.8167330677290837,0.2564904598060682,0.3903832420852178,60000,3197,1004
london,univariate,LOF,apparent_temperature,0.7928709055876686,0.257428839537066,0.3886658795749705,60000,3197,1038
london,univariate,LOF,precipitation,0.6114285714285714,0.03346887707225524,0.0634638196915777,60000,3197,175
london,univariate,LOF,surface_pressure,0.043149946062567425,0.012511729746637473,0.019398642095053348,60000,3197,927
london,univariate,LOF,soil_temperature_7_to_28cm,0.9659224441833137,0.25711604629340007,0.4061264822134387,60000,3197,851
london,univariate,LOF,soil_moisture_7_to_28cm,0.5743829219479654,0.2693149827963716,0.3666950596252129,60000,3197,1499
new_york,multivariate,LOF,ALL_FEATURES,0.16684378320935175,0.04910853925555208,0.07588206863218946,59976,3197,941
new_york,univariate,LOF,temperature_2m,0.7206512425021423,0.26305911792305287,0.3854262144821265,59976,3197,1167
new_york,univariate,OCSVM,apparent_temperature,0.05212143379663497,0.08914607444479199,0.06578188113098672,59976,3197,5468
new_york,univariate,LOF,precipitation,0.24493243243243243,0.04535502033156084,0.07653734494589602,59976,3197,592
new_york,univariate,LOF,surface_pressure,0.08312958435207823,0.021269940569283705,0.033872976338729766,59976,3197,818
new_york,univariate,LOF,soil_temperature_7_to_28cm,0.5161494616846105,0.2549264935877385,0.34128978224455614,59976,3197,1579
new_york,univariate,LOF,soil_moisture_7_to_28cm,0.9964071856287425,0.26024397873005944,0.4126984126984127,59976,3197,835
paris,multivariate,LOF,ALL_FEATURES,0.2579001019367992,0.07913669064748201,0.12111057922450934,60024,3197,981
paris,univariate,LOF,temperature_2m,0.8221105527638191,0.2558648733187363,0.3902671755725191,60024,3197,995
paris,univariate,LOF,apparent_temperature,0.8012108980827447,0.24835783547075382,0.37917860553963706,60024,3197,991
paris,univariate,LOF,precipitation,0.41208791208791207,0.046918986549890525,0.08424599831508003,60024,3197,364
paris,univariate,LOF,surface_pressure,0.04120879120879121,0.009383797309978105,0.015286624203821656,60024,3197,728
paris,univariate,LOF,soil_temperature_7_to_28cm,0.9094874591057798,0.2608695652173913,0.405444822557122,60024,3197,917
paris,univariate,LOF,soil_moisture_7_to_28cm,0.9909326424870466,0.23928683140444165,0.3854875283446712,60024,3197,772
tokyo,multivariate,LOF,ALL_FEATURES,0.18400876232201532,0.0525328330206379,0.08173193870104598,60072,3198,913
tokyo,univariate,LOF,temperature_2m,0.2399193548387097,0.29768605378361473,0.26569913480323754,60072,3198,3968
tokyo,univariate,OCSVM,apparent_temperature,0.053803975325565453,0.1472795497185741,0.0788152610441767,60072,3198,8754
tokyo,univariate,IForest,precipitation,0.07562825983878615,0.09974984365228268,0.0860302049622438,60072,3198,4218
tokyo,univariate,HBOS,surface_pressure,0.832995951417004,0.2573483427141964,0.3932154801720019,60072,3198,988
tokyo,univariate,IForest,soil_temperature_7_to_28cm,0.16761543327008221,0.3314571607254534,0.2226423020373871,60072,3198,6324
tokyo,univariate,LOF,soil_moisture_7_to_28cm,0.9731379731379731,0.24921826141338335,0.3968135424446104,60072,3198,819
