number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-26 00:10:10.533964,2026-05-26 00:10:12.682382,0 days 00:00:02.148418,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-26 00:10:12.682468,2026-05-26 00:10:12.723332,0 days 00:00:00.040864,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.03138075313807531,2026-05-26 00:10:12.723377,2026-05-26 00:10:12.732439,0 days 00:00:00.009062,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.004921259842519685,2026-05-26 00:10:12.732484,2026-05-26 00:10:13.827119,0 days 00:00:01.094635,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-26 00:10:13.827197,2026-05-26 00:10:13.936008,0 days 00:00:00.108811,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-26 00:10:13.936087,2026-05-26 00:10:13.977846,0 days 00:00:00.041759,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.024691358024691357,2026-05-26 00:10:13.977894,2026-05-26 00:10:13.998524,0 days 00:00:00.020630,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-26 00:10:13.998575,2026-05-26 00:10:15.215428,0 days 00:00:01.216853,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-26 00:10:15.215527,2026-05-26 00:10:15.334707,0 days 00:00:00.119180,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-26 00:10:15.334767,2026-05-26 00:10:15.565961,0 days 00:00:00.231194,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:10:15.566045,2026-05-26 00:10:15.576209,0 days 00:00:00.010164,,,0.0010322851929145003,,float,0.001116630251572529,,,OCSVM,,0.0010407983813368587,COMPLETE
11,0.0,2026-05-26 00:10:15.576270,2026-05-26 00:10:15.618433,0 days 00:00:00.042163,,,0.11603682403524533,,float,0.6579898182099224,,,OCSVM,,0.0018286501684339242,COMPLETE
12,0.02288329519450801,2026-05-26 00:10:15.618492,2026-05-26 00:10:15.658792,0 days 00:00:00.040300,,,0.06094684666401573,,float,0.22833856045683693,,,OCSVM,,0.014693938043295097,COMPLETE
13,0.023255813953488372,2026-05-26 00:10:15.658865,2026-05-26 00:10:15.684170,0 days 00:00:00.025305,,,0.05676031646069248,,float,0.018527154736095654,,,OCSVM,,0.008854746735734857,COMPLETE
14,0.031446540880503145,2026-05-26 00:10:15.684228,2026-05-26 00:10:15.741598,0 days 00:00:00.057370,,,0.06324144789301883,,float,0.0017285984973383222,,,OCSVM,,0.025205610991902834,COMPLETE
15,0.0,2026-05-26 00:10:15.741664,2026-05-26 00:10:17.200486,0 days 00:00:01.458822,leaky_relu,128.0,0.1901169295575309,53.0,,,5.0,0.003228115625975186,AE,3.0,,COMPLETE
16,0.03164556962025317,2026-05-26 00:10:17.200569,2026-05-26 00:10:17.273449,0 days 00:00:00.072880,,,0.08750311825402196,,float,0.0011000481017593648,,,OCSVM,,0.03778911015940194,COMPLETE
17,0.0,2026-05-26 00:10:17.273510,2026-05-26 00:10:17.382306,0 days 00:00:00.108796,,,0.00266709490976415,,scale,,,,OCSVM,,0.04939796449385792,COMPLETE
18,0.01524390243902439,2026-05-26 00:10:17.382360,2026-05-26 00:10:20.291169,0 days 00:00:02.908809,leaky_relu,128.0,0.09934778698563992,95.0,,,10.0,0.0013753786411942848,VAE,2.0,,COMPLETE
19,0.046875,2026-05-26 00:10:20.291253,2026-05-26 00:10:20.802426,0 days 00:00:00.511173,elu,256.0,0.04104611436910562,44.0,,,8.0,0.0010726333234061898,AE,2.0,,COMPLETE
20,0.02100840336134454,2026-05-26 00:10:20.802509,2026-05-26 00:10:21.280792,0 days 00:00:00.478283,elu,256.0,0.02972763594927903,41.0,,,8.0,0.000927768993978249,AE,2.0,,COMPLETE
21,0.0,2026-05-26 00:10:21.280878,2026-05-26 00:10:22.251880,0 days 00:00:00.971002,elu,256.0,0.041476532629355176,77.0,,,12.0,0.0015103406097788684,AE,2.0,,COMPLETE
22,0.027932960893854747,2026-05-26 00:10:22.251962,2026-05-26 00:10:22.884322,0 days 00:00:00.632360,elu,256.0,0.10465577711627332,42.0,,,4.0,0.0006578580629034107,AE,3.0,,COMPLETE
23,0.014749262536873156,2026-05-26 00:10:22.884407,2026-05-26 00:10:23.386307,0 days 00:00:00.501900,elu,512.0,0.04035612937050778,72.0,,,7.0,0.004018093364583463,AE,2.0,,COMPLETE
24,0.0,2026-05-26 00:10:23.386391,2026-05-26 00:10:23.722452,0 days 00:00:00.336061,,,0.012546039651976577,,float,0.005444253416854463,,,OCSVM,,0.196039908870623,COMPLETE
