city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred,train_time_s,infer_time_s,search_time_s,total_time_s
amsterdam,multivariate,OCSVM,ALL_FEATURES,0.2879581151832461,0.2619047619047619,0.2743142144638404,0.2667313288069835,20856,210,191,0.0441,0.03976,14.7564,14.8005
amsterdam,univariate,AE,temperature_2m,0.005035669324381032,0.15789473684210525,0.009760065067100447,0.02232973576479345,20856,76,2383,1.0257,0.000928,16.7983,17.8241
amsterdam,univariate,AE,apparent_temperature,0.005277044854881266,0.02631578947368421,0.008791208791208791,0.014641288433382138,20856,76,379,1.5225,0.000848,23.0577,24.5802
amsterdam,univariate,VAE,precipitation,0.6,0.04225352112676056,0.07894736842105263,0.05190311418685121,20856,71,5,3.1998,0.000516,33.5335,36.7333
amsterdam,univariate,VAE,surface_pressure,0.7912087912087912,1.0,0.8834355828220859,0.9498680738786279,20856,72,91,1.6332,0.000229,20.7474,22.3806
amsterdam,univariate,AE,soil_temperature_7_to_28cm,0.01953125,0.06493506493506493,0.03003003003003003,0.044326241134751775,20856,77,256,0.3028,0.00059,19.6015,19.9043
amsterdam,univariate,AE,soil_moisture_7_to_28cm,0.15625,0.0684931506849315,0.09523809523809523,0.07716049382716049,20856,73,32,0.8203,0.000786,13.466,14.2863
london,multivariate,OCSVM,ALL_FEATURES,0.4028776978417266,0.26666666666666666,0.3209169054441261,0.28600612870275793,20856,210,139,0.0487,0.044134,17.8881,17.9369
london,univariate,AE,temperature_2m,0.0029239766081871343,0.034482758620689655,0.005390835579514825,0.010917030567685589,20856,58,684,0.6916,0.000842,13.1887,13.8804
london,univariate,OCSVM,apparent_temperature,0.005291005291005291,0.012658227848101266,0.007462686567164179,0.009900990099009901,20856,79,189,0.0411,0.03631,18.1649,18.2061
london,univariate,VAE,precipitation,0.00205761316872428,0.013157894736842105,0.0035587188612099642,0.006329113924050633,20856,76,486,3.0705,0.000276,17.19,20.2605
london,univariate,OCSVM,surface_pressure,0.9213483146067416,1.0,0.9590643274853801,0.9832134292565947,20856,82,89,0.104,0.091267,12.0137,12.1177
london,univariate,OCSVM,soil_temperature_7_to_28cm,0.018691588785046728,0.029850746268656716,0.022988505747126436,0.02666666666666667,20856,67,107,0.0207,0.018044,8.4735,8.4942
london,univariate,AE,soil_moisture_7_to_28cm,0.02844311377245509,0.20652173913043478,0.05,0.0916988416988417,20856,92,668,0.6605,0.000547,16.5603,17.2207
