city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred,n_synthetic,n_caught,n_missed,missed_rate,n_extra_flags,extra_flag_rate
GB,multivariate,IForest,ALL_FEATURES,0.6054421768707483,0.6054421768707483,0.6054421768707483,0.6054421768707483,7342,147,147,147,89,58,0.3945578231292517,58,0.008061153578874217
GB,univariate,IForest,initialDemandOutturn,0.5850340136054422,0.8349514563106796,0.688,0.7692307692307693,7342,103,147,103,86,17,0.1650485436893204,61,0.008426578256665285
GB,univariate,IForest,initialTransmissionSystemDemandOutturn,0.4965986394557823,0.9240506329113924,0.6460176991150443,0.7883369330453563,7342,79,147,79,73,6,0.0759493670886076,74,0.010188627288999037
