city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred
amsterdam,multivariate,IForest,ALL_FEATURES,0.2621798091411351,0.3406199021207178,0.2962962962962963,0.3213889915035094,20016,3065,3982
amsterdam,univariate,IForest,temperature_2m,0.23590655154900966,0.3030995106035889,0.26531486505783236,0.28676379799975305,20016,3065,3938
amsterdam,univariate,IForest,apparent_temperature,0.2505163765122455,0.2769983686786297,0.26309265571738455,0.27126333951051185,20016,3065,3389
amsterdam,univariate,ECOD,precipitation,0.15892997639653816,0.13181076672104405,0.1441055823078295,0.13646804485880287,20016,3065,2542
amsterdam,univariate,ECOD,surface_pressure,0.223876829883897,0.2893964110929853,0.25245481713391205,0.27339415608432993,20016,3065,3962
amsterdam,univariate,IForest,soil_temperature_7_to_28cm,0.23965873836608065,0.30244698205546494,0.2674167027260926,0.28738839285714285,20016,3065,3868
amsterdam,univariate,LOF,soil_moisture_7_to_28cm,0.21707589285714285,0.2538336052202284,0.2340201534065273,0.2455188083817218,20016,3065,3584
london,multivariate,HBOS,ALL_FEATURES,0.22056970002520795,0.28492347769456206,0.24865018471156577,0.26921420220294134,20016,3071,3967
london,univariate,IForest,temperature_2m,0.2390661938534279,0.2634321068056008,0.2506584043377227,0.25816951748787337,20016,3071,3384
london,univariate,LOF,apparent_temperature,0.2770083102493075,0.22793878215564964,0.2500893176134334,0.2363108500438863,20016,3071,2527
london,univariate,IForest,precipitation,0.15663390663390664,0.1660696841419733,0.16121384542437173,0.1640926640926641,20016,3071,3256
london,univariate,ECOD,surface_pressure,0.2263012320844858,0.29306414848583523,0.25539160045402953,0.2767357481089724,20016,3071,3977
london,univariate,IForest,soil_temperature_7_to_28cm,0.2342959214051801,0.2562683165092804,0.2447900466562986,0.2515502141532954,20016,3071,3359
london,univariate,IForest,soil_moisture_7_to_28cm,0.24372230428360414,0.26864213611201565,0.2555762081784387,0.26325866360329314,20016,3071,3385
new_york,multivariate,IForest,ALL_FEATURES,0.25586854460093894,0.283208834037025,0.26884538307384,0.2772831340625795,20016,3079,3408
new_york,univariate,LOF,temperature_2m,0.20021557531662626,0.2413121143228321,0.21885125184094256,0.23179634367005678,20016,3079,3711
new_york,univariate,LOF,apparent_temperature,0.17608818541548898,0.20233842156544332,0.18830285627928064,0.1964803834994323,20016,3079,3538
new_york,univariate,IForest,precipitation,0.1606952820148989,0.1471256901591426,0.1536113936927772,0.14965312190287414,20016,3079,2819
new_york,univariate,ECOD,surface_pressure,0.22025764081838847,0.283208834037025,0.24779766979255471,0.2678955453149002,20016,3079,3959
new_york,univariate,IForest,soil_temperature_7_to_28cm,0.23190546528803546,0.25495290678791815,0.24288366336633663,0.24998407744729634,20016,3079,3385
new_york,univariate,LOF,soil_moisture_7_to_28cm,0.23272329964490576,0.27671321857746023,0.25281899109792283,0.2666332853476873,20016,3079,3661
paris,multivariate,IForest,ALL_FEATURES,0.2569060773480663,0.3332247557003257,0.29013045944412935,0.3145369573238224,20016,3070,3982
paris,univariate,IForest,temperature_2m,0.25036689169357207,0.27785016286644953,0.26339354639493595,0.27188117549563334,20016,3070,3407
paris,univariate,LOF,apparent_temperature,0.22334004024144868,0.2530944625407166,0.23728813559322035,0.246525794783933,20016,3070,3479
paris,univariate,IForest,precipitation,0.1495930395733932,0.1736156351791531,0.16071159354741443,0.1682130909549959,20016,3070,3563
paris,univariate,ECOD,surface_pressure,0.2328593194514982,0.2986970684039088,0.2617009132420091,0.28271056850413123,20016,3070,3938
paris,univariate,LOF,soil_temperature_7_to_28cm,0.25170509905813576,0.252442996742671,0.25207350788746136,0.25229507129370404,20016,3070,3079
paris,univariate,IForest,soil_moisture_7_to_28cm,0.2426470588235294,0.2687296416938111,0.2550231839258114,0.26307397959183676,20016,3070,3400
tokyo,multivariate,IForest,ALL_FEATURES,0.26787807737397423,0.29810828440965426,0.28218585983328187,0.29152845113549375,20040,3066,3412
tokyo,univariate,IForest,temperature_2m,0.25301559282141806,0.2804957599478147,0.2660479505027069,0.2745323373555513,20040,3066,3399
tokyo,univariate,IForest,apparent_temperature,0.25022026431718064,0.27788649706457924,0.2633286972647195,0.27187440168485544,20040,3066,3405
tokyo,univariate,IForest,precipitation,0.1540633824913712,0.16014350945857794,0.1570446185830801,0.15888939227234483,20040,3066,3187
tokyo,univariate,ECOD,surface_pressure,0.23373005824259308,0.3010437051532942,0.2631503920171062,0.2846481218775057,20040,3066,3949
tokyo,univariate,IForest,soil_temperature_7_to_28cm,0.2465226398342705,0.271689497716895,0.25849495733126454,0.26625327622578787,20040,3066,3379
tokyo,univariate,IForest,soil_moisture_7_to_28cm,0.24216439976345358,0.2671232876712329,0.2540322580645161,0.2617282372491372,20040,3066,3382
